run	run_dir	model	pearson_R	ci95_lo	ci95_hi	n_R	ceiling_R	ceiling_norm
GSE83894	out_plan8	cnn_wt_mt_delta_ens	0.4567501355460405	0.3909739121528934	0.5145936283146479	838	0.8575475799301007	0.5326236657134179
GSE83894	out_plan8	cnn_wt_mt_delta3head_ens	0.4742212477493053	0.4121240330295094	0.5301097798963197	838	0.8575475799301007	0.5529970101343641
GSE83894	out_plan8	kmer_delta_ens	0.3420869402037744	0.2705090643543862	0.406367200694981	838	0.8575475799301007	0.3989130728252514
GSE142696_3p3p_trim171	out_gse142696_plan8/3p3p/out_plan8_trim171	cnn_wt_mt_delta_ens	0.2445585064384572	0.1731084638459098	0.3122388709912398	837	0.4689164039481011	0.5215396697137611
GSE142696_3p3p_trim171	out_gse142696_plan8/3p3p/out_plan8_trim171	cnn_wt_mt_delta3head_ens	0.2122975658056617	0.1480288556881676	0.2752735766316339	837	0.4689164039481011	0.4527407529747209
GSE142696_3p3p_trim171	out_gse142696_plan8/3p3p/out_plan8_trim171	kmer_delta_ens	0.3304071436586787	0.2730405149585963	0.3898988732988563	837	0.4689164039481011	0.7046184370535428
GSE142696_5p3p_trim171	out_gse142696_plan8/5p3p/out_plan8_trim171	cnn_wt_mt_delta_ens	0.3129210847117047	0.2626437821767064	0.3852674550257656	837	0.7648646852390932	0.4091195354559833
GSE142696_5p3p_trim171	out_gse142696_plan8/5p3p/out_plan8_trim171	cnn_wt_mt_delta3head_ens	0.3246481087120744	0.2728322755450359	0.3878260749533117	837	0.7648646852390932	0.4244516905766029
GSE142696_5p3p_trim171	out_gse142696_plan8/5p3p/out_plan8_trim171	kmer_delta_ens	0.1902638892211341	0.1268454583163792	0.2451775594168156	837	0.7648646852390932	0.248754966588186
GSE142696_5p5p_trim171	out_gse142696_plan8/5p5p/out_plan8_trim171	cnn_wt_mt_delta_ens	0.3310816958137349	0.27056438064372	0.38969394081736	837	0.8860935461273782	0.3736419221883612
GSE142696_5p5p_trim171	out_gse142696_plan8/5p5p/out_plan8_trim171	cnn_wt_mt_delta3head_ens	0.3507853953986825	0.294138798853774	0.4050085779843205	837	0.8860935461273782	0.395878512976164
GSE142696_5p5p_trim171	out_gse142696_plan8/5p5p/out_plan8_trim171	kmer_delta_ens	0.1763715593950826	0.1151305060122355	0.2379394640006326	837	0.8860935461273782	0.1990439498920904
