design	model	171.0	185.0	delta_pearson_trim_diff
3p3p	cnn3head_kmer_fused_ens	0.3342087316999559	0.3337583583615874	-0.0004503733383685038
3p3p	cnn_delta_ens	0.2510825445867936	0.220409322571679	-0.030673222015114576
3p3p	cnn_kmer_fused_ens	0.3330226779876984	0.3404092136128057	0.007386535625107271
3p3p	cnn_msres_wt_mt_delta3head_ens	0.2398534762484603	0.1990578411719679	-0.04079563507649239
3p3p	cnn_wt_mt_delta3head_ens	0.2122975658056617	0.2430706696005855	0.03077310379492379
3p3p	cnn_wt_mt_delta_ens	0.2445585064384572	0.2446820673826394	0.00012356094418219943
3p3p	cnn_wt_mt_derive_delta_ens	0.2350523502028253	0.2230321809169335	-0.012020169285891807
3p3p	gkmsvm_optional	0.2321628493565298	0.2422816769613414	0.010118827604811587
3p3p	kmer_delta_ens	0.3304071436586787	0.3310083102019018	0.0006011665432231195
3p3p	kmer_elasticnet_delta_ens	0.3217207022019636	0.323542449425963	0.0018217472239994148
3p3p	kmer_nystroem_ridge_delta_ens	0.1161263815951035	0.1315523617694615	0.015425980174358006
3p3p	nt_transformer_delta_ens	0.2673048092733899	0.2426745339614037	-0.024630275311986194
3p3p	onehot_ridge_delta_ens	0.1185405516410749	0.1185405487720267	-2.869048193465673e-09
5p3p	cnn3head_kmer_fused_ens	0.3258945615371199	0.3395855698860333	0.013691008348913403
5p3p	cnn_delta_ens	0.3361569972540449	0.2964944815807855	-0.0396625156732594
5p3p	cnn_kmer_fused_ens	0.3129210847117047	0.298503050198393	-0.014418034513311695
5p3p	cnn_msres_wt_mt_delta3head_ens	0.1929941906657357	0.2009029262172638	0.007908735551528101
5p3p	cnn_wt_mt_delta3head_ens	0.3246481087120744	0.3399755927433915	0.015327484031317118
5p3p	cnn_wt_mt_delta_ens	0.3129210847117047	0.2982264508978632	-0.014694633813841507
5p3p	cnn_wt_mt_derive_delta_ens	0.2158913888152599	0.1825339905523753	-0.03335739826288461
5p3p	gkmsvm_optional	0.2724772835878281	0.2447554490416134	-0.027721834546214685
5p3p	kmer_delta_ens	0.1902638892211341	0.1903401039474925	7.621472635840898e-05
5p3p	kmer_elasticnet_delta_ens	0.1841715260379458	0.1824441071632263	-0.0017274188747194996
5p3p	kmer_nystroem_ridge_delta_ens	0.0380450722660271	0.04434823518085	0.006303162914822899
5p3p	nt_transformer_delta_ens	0.1490543425068021	0.1234789316803373	-0.025575410826464806
5p3p	onehot_ridge_delta_ens	0.0375471060974999	0.0375470809286622	-2.5168837701483593e-08
5p5p	cnn3head_kmer_fused_ens	0.3458416844068258	0.3423734717059378	-0.003468212700887985
5p5p	cnn_delta_ens	0.343896933314122	0.352736539787805	0.008839606473682982
5p5p	cnn_kmer_fused_ens	0.329485133118431	0.3389841260804418	0.009498992962010844
5p5p	cnn_msres_wt_mt_delta3head_ens	0.2035481021031779	0.2072088152740424	0.003660713170864499
5p5p	cnn_wt_mt_delta3head_ens	0.3507853953986825	0.3426987967751596	-0.0080865986235229
5p5p	cnn_wt_mt_delta_ens	0.3310816958137349	0.3284307789873025	-0.0026509168264324257
5p5p	cnn_wt_mt_derive_delta_ens	0.1377463877083399	0.146622332347221	0.008875944638881084
5p5p	gkmsvm_optional	0.2602714947665622	0.2512307307988298	-0.009040763967732401
5p5p	kmer_delta_ens	0.1763715593950826	0.1915312163007588	0.015159656905676222
5p5p	kmer_elasticnet_delta_ens	0.1722493320765518	0.1866641047431881	0.014414772666636294
5p5p	kmer_nystroem_ridge_delta_ens	0.051961210851091	0.0933016490589012	0.04134043820781021
5p5p	nt_transformer_delta_ens	0.193969317403425	0.1398391133432951	-0.05413020406012989
5p5p	onehot_ridge_delta_ens	0.048957297213127	0.0489573120614411	1.484831409909182e-08
