assay	trim	model	mean_pearson	sd_pearson	mean_spearman	mean_ceiling	mean_pearson_over_ceiling	n_splits
HSS	171	cnn_mean_ens	0.6767445562937778	0.0577405598058025	0.47171082976762513	0.9548127460666539	0.7087720174260592	5
HSS	171	kmer_elasticnet_mean_ens	0.597819380383395	0.0654505598578575	0.3636884411390913	0.9548127460666539	0.6261116463370529	5
HSS	171	kmer_mean_ens	0.6076446713357314	0.06514376399785111	0.3673625574112692	0.9548127460666539	0.6364019268059842	5
HSS	171	onehot_ridge_mean_ens	0.16336813138370918	0.07786163882576015	0.14811223906956839	0.9548127460666539	0.17109965493936202	5
HSS	185	cnn_mean_ens	0.6745522878308652	0.06375059922617307	0.4639645901732127	0.9548127460666539	0.7064759981574186	5
HSS	185	kmer_elasticnet_mean_ens	0.597652586009976	0.06519152843083863	0.3641244990590964	0.9548127460666539	0.6259369582905158	5
HSS	185	kmer_mean_ens	0.6067822642512389	0.06540027668059606	0.36409564719499243	0.9548127460666539	0.635498705637179	5
HSS	185	onehot_ridge_mean_ens	0.16336811031524748	0.07786165218981554	0.14811223906956839	0.9548127460666539	0.17109963287381902	5
ORI	171	cnn_mean_ens	0.7299732015166642	0.041531520410404574	0.5439032682290963	0.9935749393233643	0.7346936528147381	5
ORI	171	kmer_elasticnet_mean_ens	0.6325707713092117	0.0226772081189194	0.4079067525039018	0.9935749393233643	0.6366613591723634	5
ORI	171	kmer_mean_ens	0.6357651246773758	0.022780284509460798	0.40443685891068915	0.9935749393233643	0.6398763691748697	5
ORI	171	onehot_ridge_mean_ens	0.2070500842647937	0.05396460609572339	0.11750728173970967	0.9935749393233643	0.20838899620978477	5
ORI	185	cnn_mean_ens	0.734793748842883	0.038699872390335385	0.5423658724772744	0.9935749393233643	0.7395453727358359	5
ORI	185	kmer_elasticnet_mean_ens	0.6361091956583483	0.02651752351078757	0.412977213564525	0.9935749393233643	0.6402226651283555	5
ORI	185	kmer_mean_ens	0.6381237405001905	0.02514261126451173	0.40808574816708987	0.9935749393233643	0.6422502372440674	5
ORI	185	onehot_ridge_mean_ens	0.2070500866586818	0.05396459699914166	0.11750728173970967	0.9935749393233643	0.20838899861915322	5
pGL4	171	cnn_mean_ens	0.706253976411322	0.03636916610105613	0.5155698121541904	0.9938114885299644	0.7106518535582694	5
pGL4	171	kmer_elasticnet_mean_ens	0.6168621644239866	0.03242989509146219	0.3824069271750473	0.9938114885299644	0.620703394500342	5
pGL4	171	kmer_mean_ens	0.6290273547752823	0.022712617907576366	0.3806688469544578	0.9938114885299644	0.6329443380713309	5
pGL4	171	onehot_ridge_mean_ens	0.232395818253368	0.029809511303152438	0.15298702938909642	0.9938114885299644	0.2338429580816433	5
pGL4	185	cnn_mean_ens	0.7114441574125652	0.03316683119876159	0.5329184714681883	0.9938114885299644	0.7158743540637933	5
pGL4	185	kmer_elasticnet_mean_ens	0.6197773099196667	0.034776703264523125	0.3898323827124287	0.9938114885299644	0.6236366927458595	5
pGL4	185	kmer_mean_ens	0.6322184600083275	0.025287975333442857	0.3911238894985953	0.9938114885299644	0.6361553144686407	5
pGL4	185	onehot_ridge_mean_ens	0.2323958101095845	0.029809497036721526	0.15298702938909642	0.9938114885299644	0.23384294988714802	5
